flow_cfs,wse_ft_navd88
1.6,1328.62
1.8,1328.62
1.8,1328.63
1.8,1328.63
2.0,1328.64
2.6,1328.68
3.4,1328.74
4.1,1328.78
4.5,1328.79
4.6,1328.80
4.6,1328.80
5.6,1328.85
14.0,1329.14
17.5,1329.24
19.2,1329.29
19.9,1329.30
19.9,1329.30
19.9,1329.30
19.9,1329.30
22.7,1329.37
23.4,1329.38
23.5,1329.39
23.5,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.6,1329.39
23.7,1329.39
23.7,1329.39
23.7,1329.39
23.7,1329.39
23.7,1329.39
23.7,1329.39
